Name,Facebook,Twitter,Instagram
HANNAH YEOH,https://www.facebook.com/hannahyeoh/,https://twitter.com/hannahyeoh/,https://www.instagram.com/hannahyeoh/
NIK NAZMI BIN NIK AHMAD,https://www.facebook.com/niknazminikahmad/,https://twitter.com/niknazmi/,https://www.instagram.com/niknazminikahmad/
RINA MOHD HARUN,https://www.facebook.com/rinaharunsrikandi/,https://twitter.com/rinamohdharun/,https://www.instagram.com/rinamohdharun/
SHAHIDAN BIN KASSIM,https://www.facebook.com/ybdssk/,https://twitter.com/dshahidankassim,
DATO' DR. HAJI ABD RAHMAN BIN DAUD,https://www.facebook.com/CikguRahman.PakatanHarapan/,https://twitter.com/arda11557,
USTAZ HASHIM JASIN,https://www.facebook.com/hashimjasinakil/,https://twitter.com/hashimjasinakil,
DR MAHATHIR BIN MOHAMAD,https://www.facebook.com/TunDrMahathir/,https://twitter.com/chedetofficial,
DATO' IR. NAWAWI BIN AHMAD,https://www.facebook.com/Yb-Datoir-Hj-Nawawi-Ahmad-790973047711451/,https://twitter.com/nawawikawi,
MUKHRIZ MAHATHIR,https://www.facebook.com/MukhrizMahathirFC/,https://twitter.com/mukhrizmahathir,
ABD. GHANI BIN AHMAD,https://www.facebook.com/ustazghani4jerlun/,https://twitter.com/abdghani_57,
OTHMAN BIN AZIZ,https://www.facebook.com/doajerlun/,https://twitter.com/doa_jerlun,
NORHAFIZA BINTI FADZIL,https://www.facebook.com/Ustazah-Norhafizah-Musa-Official-320932057943957/,https://twitter.com/ummuasmaa,
DATO' SERI MAHDZIR KHALID,https://www.facebook.com/mahdzirkhalid/,https://twitter.com/mahdzirkhalid,
DATO' HJ MAHFUZ OMAR,https://www.facebook.com/MahfuzOmarDMO/,https://twitter.com/mahfuzomar,
CHAN MING KAI,https://www.facebook.com/chanmingkai/,https://twitter.com/chanmingkai,
DR AZMAN ISMAIL,https://www.facebook.com/drazmanismail/,https://twitter.com/DrAzmanAziz,
WAN SAIFUL WAN JAN,https://www.facebook.com/wansaifulwanjan/,https://twitter.com/wansaiful,
AKHRAMSYAH BIN SANUSI JUNID,https://www.facebook.com/akhramsyahsanusijunid/,https://twitter.com/amubaidahs,
DATO' TAJUL URUS HJ. MAT ZAIN,https://www.facebook.com/Dato-Hj-Tajul-Urus-B-Hj-Mat-Zain-112625355479840/,https://twitter.com/datohjtajulurus,
DATO' JOHARI ABDUL,https://www.facebook.com/mpsungaipetani/,https://twitter.com/joharighani_ttw,
DATO' SHAHANIM BINTI MOHAMAD YUSOFF,https://www.facebook.com/Dato-Shahanim-Mohamad-Yusoff-422760221220351/,https://twitter.com/shahanim_pu3,
DATUK AZEEZ RAHIM,https://www.facebook.com/AzeezRahim/,https://twitter.com/azeezputera,
DATO' SAIFUDDIN NASUTION ISMAIL,https://www.facebook.com/saifuddin.nasution/,https://twitter.com/saifuddin4mpn,
DATO HJ CHE LAH MAT NAWI,https://www.facebook.com/DatoCheAbdullah/,https://twitter.com/che_abdullah,
DATUK WAN,https://www.facebook.com/UMNO-Bahagian-Tumpat-1644763475756797/,https://twitter.com/wanazizidotmy,
USTAZ MARZUK SHAARY,https://www.facebook.com/UstazAhmadMarzuk/,https://twitter.com/ustaz_marzuk,
HUSAM MUSA,https://www.facebook.com/hjhusammusa/,https://twitter.com/hjhusammusa,
FIKHRAN HAMSHI,https://www.facebook.com/fikhranhamshi/,https://twitter.com/fikhranhamshi,
USTAZ FADHLI SHAARI,https://www.facebook.com/ahmadfadhli80/,https://twitter.com/FadhliShaari,
