,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,82080.50795,63523.95278,53205.1282,120906.3316,89017.3959,64171.24888,108597.5935,197975.7149,215646.106,131032.2797,229087.4183,57134.73237,108085.514,153182.265,100997.9156
2006,80906.2034,68772.48178,55285.77568,136188.4302,126989.6204,74921.33432,109010.2635,189092.4093,206147.5258,140547.3019,245421.6127,52603.78863,106845.5071,154361.2768,81962.37624
2007,88706.68408,58027.17288,68419.01288,132952.6041,144833.4168,74472.30875,126698.2172,190991.705,209254.7335,154447.2477,259661.8896,59925.36942,126437.3672,196741.1035,86280.94058
2008,86738.23179,68550.05088,62989.97937,131023.9408,132156,64039.21464,115258.9674,183556.6932,201870.4368,151162.8993,253246.0845,61972.79724,124411.3904,220794.9918,75168.31683
2009,94054.09642,69499.79314,66428.62497,137441.5902,130717.0323,61340.24391,103907.844,170353.2983,213187.9399,160232.7476,235610.0939,57799.54541,123051.9113,211403.1152,95217.3913
2010,78179.24528,70903.42679,70338.98305,101497.5845,113302.4691,60422.53521,113253.012,183188.4058,215000,108647.4425,191434.9776,58757.14286,102482.9932,142084.399,73000
2011,83949.81413,69090.90909,70414.50777,114343.4343,122888.8889,57345.67901,114734.8485,164049.0798,240588.2353,98797.2197,245879.1209,55426.06516,106322.7953,139079.4016,75937.5
2012,89751.60994,74581.00559,63587.44395,114830.9179,125148.8095,59431.13772,125384.6154,186730.3609,224324.3243,96314.20765,182563.0252,57250,102018.2094,161946.5649,95925.92593
2013,102232.2322,70967.74194,68235.29412,152093.0233,128536.5854,61191.86047,140920.2454,201701.6807,200952.381,106346.2619,175795.4545,55187.28717,117599.3377,165066.6667,83636.36364
2014,109128.7129,73782.50591,81450,162777.7778,118783.7838,67125.7485,143417.4757,209313.9293,188260.8696,117409.2361,200276.6798,66644.9935,120638.9776,169851.2586,104137.931
2015,108325.6244,74463.89497,74333.33333,155699.4819,116958.6375,65675.67568,141826.4014,250134.8315,215714.2857,127125.9959,235092.5926,71434.21053,125956.1129,206542.8937,95294.11765
2016,115862.069,81897.32143,81416.30901,174207.6503,129395.466,69647.69648,145745.7627,246804.9793,226190.4762,131020.8155,246683.6735,67633.13609,132677.761,208502.4155,116666.6667
