,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Labuan
2005,81073.01222,31231.19382,38333.14678,54508.92647,53325.24272,63687.44905,57052.86839,64662.75721,81718.69984,39373.88111,49108.97575,43960.30634,40641.35307,48849.24175
2006,86135.60569,35014.1791,39901.19377,73466.63567,51458.76904,63132.84877,67642.55139,59540.57745,74991.57303,49908.64357,53062.81074,46686.71701,38485.70365,100338.9831
2007,79619.04388,42295.81832,42794.69308,93718.64548,48280.26197,55881.22188,62162.28959,62517.20681,86393.25843,51232.42994,49071.86073,43322.39948,39027.97605,68652.9884
2008,83440.28504,41401.62297,46635.32294,109691.6101,52325.51851,61467.3684,67072.3613,61230.89754,98332.58427,69974.66885,58927.14989,43030.21955,47162.95996,98547.2155
2009,106465.7236,40980.46348,48291.40097,136232.6175,63066.97582,63164.35133,67966.65945,69479.76949,89928.08989,71202.58632,51055.15603,40648.80135,41511.19237,136711.8644
2010,107953.3679,38404.16305,39911.26886,151597.6331,63295.88015,66411.6095,91428.57143,66762.42236,89760,78043.91218,51425.78125,32288.15281,39745.39363,211428.5714
2011,123629.6296,40677.9661,48373.25349,225163.9344,69148.93617,74404.92476,85345.91195,77232.96888,80000,86060.60606,50970.14925,44081.47379,51454.18327,147000
2012,112671.0098,29779.00552,37950.11691,134485.9813,67067.39526,69638.09524,62500,65794.26172,79481.48148,84051.89621,52603.5503,39761.49068,45290.93369,151000
2013,105394.3452,29148.68805,41891.6595,150487.8049,81860.98655,73242.38579,63333.33333,59424.55243,76350.36496,74090.09009,45280.13582,35860.63783,39455.33141,216250
2014,103429.7812,41123.21878,45415.52511,188245.614,72681.91268,74498.38188,88430.23256,82547.99302,81879.69925,91273.58491,62043.79562,31141.43463,44690.7994,117500
2015,104141.3428,45806.72269,51522.41919,212687.5,80646.46465,71695.3317,128181.8182,82897.11934,85000,77628.86598,60285.03563,25355.60173,49635.34823,51250
2016,138210.4228,43640.35088,63962.26415,193901.0989,88104.2654,72200.2635,143523.8095,87443.74437,89593.49593,84354.06699,56761.90476,24243.4663,48913.98207,43888.88889
