JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005,,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,,JADUAL 1.8 :  KDNK MENGIKUT NEGERI DAN AKTIVITI EKONOMI BAGI TAHUN 2005 - 2013 PADA HARGA MALAR 2005 (samb.),,,,,,,,,,
Table 1.8      :  GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices ,,,,,,,,,,,Table 1.8      :  GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices  (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices  (cont’d),,,,,,,,,,,Table 1.8      :   GDP by State and Economic Activity for year 2005 - 2013 at Constant 2005 Prices (cont’d),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, RM (Juta/ Million),,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,,,,,,,,, RM (Juta/ Million) ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pertanian,2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,c) Pembuatan,2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,"e) Utiliti, 
     Pengangkutan,   
     Penyimpanan &         
     Komunikasi",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,"g) Kewangan, 
     Insurans,  
     Hartanah dan 
     Perkhidmatan            
     Perniagaan",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,,"i) Perkhidmatan 
   Kerajaan",2005,2006,2007,2008,2009,2010,2011,2012e,2013p,
    Agriculture,,,,,,,,,,,    Manufacturing,,,,,,,,,,,"       Utilities, Transport, 
       Storage & 
       Communication",,,,,,,,,,,"      Finance, 
     I nsurance, 
      Real Estate and 
      Business 
      Services",,,,,,,,,,,"   Government 
   Services",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,"6,189","6,654","6,349","7,171","7,448","7,598","8,135","8,499","8,749",,Johor,"19,314","20,066","20,663","20,028","17,650","21,037","21,995","23,336","24,405",,Johor,"5,122","5,431","5,839","6,091","6,168","6,751","7,297","7,898","8,222",,Johor,"6,491","6,795","7,251","7,868","7,739","8,074","8,630","9,120","9,370",,Johor,"3,257","3,632","3,804","4,058","4,223","4,326","4,937","5,544","5,815",
Kedah,"2,206","2,417","2,682","2,748","2,758","2,734","2,961","3,010","3,134",,Kedah,"6,439","6,984","7,718","6,957","6,416","6,638","7,352","7,852","8,045",,Kedah,"1,286","1,360","1,465","1,586","1,646","1,779","1,918","2,071","2,215",,Kedah,"1,562","1,764","1,871","2,035","2,161","2,279","2,490","2,708","2,773",,Kedah,"2,091","2,328","2,443","2,553","2,641","2,789","3,094","3,361","3,668",
Kelantan,"2,345","2,618","2,989","3,028","2,941","3,071","3,250","3,262","3,278",,Kelantan,546,511,538,572,570,691,720,739,728,,Kelantan,724,744,787,824,854,936,"1,009","1,072","1,128",,Kelantan,648,734,787,921,923,992,"1,044","1,136","1,162",,Kelantan,"1,798","2,003","2,106","2,328","2,438","2,501","2,796","3,129","3,389",
Melaka,813,962,"1,050","1,252","1,450","1,794","1,904","1,996","2,171",,Melaka,"7,594","8,313","8,496","8,527","7,992","8,441","8,527","9,030","9,190",,Melaka,"1,257","1,311","1,372","1,453","1,503","1,618","1,719","1,799","1,979",,Melaka,"1,277","1,363","1,496","1,568","1,681","1,814","1,873","2,006","2,023",,Melaka,927,"1,077","1,124","1,184","1,202","1,265","1,408","1,579","1,726",
Negeri Sembilan,"1,638","1,817","1,771","1,832","1,941","2,016","2,126","2,178","2,177",,Negeri Sembilan,"10,528","11,477","11,877","12,038","11,755","12,289","12,895","13,395","13,483",,Negeri Sembilan,"1,564","1,943","2,047","2,142","2,178","2,380","2,510","2,698","2,723",,Negeri Sembilan,"1,465","1,615","1,785","1,927","1,951","2,049","2,162","2,282","2,333",,Negeri Sembilan,"1,285","1,431","1,495","1,574","1,589","1,616","1,793","1,959","2,117",
