,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,22185.8583,11437.75617,4799.341005,17812.65089,18815.88241,16911.7647,29218.71214,16116.73251,19257.92591,33642.78437,10981.32488,19067.86938,19823.27949,53982.75901,18539.68254
2006,18238.90409,10701.88619,4350.595922,15457.80399,19301.19623,16620.83629,31108.19858,17086.61272,17550.99838,33643.36276,12018.03119,21584.89288,19471.97201,57256.59536,15741.23989
2007,18007.10733,12523.63232,4288.421161,26814.64531,17382.59701,17674.0009,29922.20154,13399.66949,18936.72077,41172.31653,14493.13538,16617.01732,23490.41023,54294.38663,11173.46939
2008,18382.39183,12176.72274,4632.350491,24527.1786,20982.43331,17167.61543,32116.08352,13710.83471,19629.40608,36844.60523,11940.90097,14670.53938,19623.16909,61492.93286,11587.30159
2009,20663.16723,11211.24801,4228.42556,25884.59879,23567.14403,16853.29553,32748.61307,15902.94327,15801.15213,41014.39879,11995.67514,13455.26142,21407.57625,67703.47232,12461.81492
2010,22690.69573,9801.652893,4737.631184,23759.12409,27388.53503,21578.94737,30264.76578,16010.36269,18720.93023,36235.81848,14944.85294,16176.47059,23120.56738,66920.15209,15869.56522
2011,18849.12281,12183.67347,4643.916914,25133.07985,31985.8156,20675.67568,31857.14286,16865.67164,19620.25316,36913.72102,14656.7718,14350,19141.88615,68757.61267,14905.66038
2012,24272.51732,12259.25926,5265.553869,35674.74048,29111.74785,20631.16371,32871.97232,27441.52047,17317.07317,39105.45455,17593.28358,15470.02725,23091.21622,89531.85956,27674.4186
2013,23804.1958,9578.606159,3604.651163,30781.25,26313.13131,19286.95652,31223.1405,30778.68852,15154.63918,41400.40107,17464.78873,11269.38541,22646.5798,102020.9059,45500
2014,32207.23918,8474.842767,3769.035533,24602.64901,31256.41026,25348.83721,39391.14391,24284.06467,20112.35955,49549.19499,16459.73154,13669.7861,18172.3419,120000,45581.39535
2015,38438.3378,10492.06349,4680.573664,25925.92593,29379.84496,28827.29211,43636.36364,26238.09524,17252.74725,43862.7625,11953.125,13375.75352,23348.18114,152365.5914,31052.63158
2016,56205.5336,12411.00324,5541.022592,29456.52174,32670.15707,36390.04149,37161.50082,29109.7561,17916.66667,46102.8245,14054.05405,14812.26054,22564.29652,170093.0851,30967.74194
