,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,96031,54831,58105.99078,66706,57199,87621,124388,78655,59291.33858,48183,43035.9543,83634,85394,187213,563071.1205
2006,99642,56015,50815.04981,78872,62222,73047,96729,69416,60350.1125,51417,32878.50698,73489,96822,202030,659401
2007,91756,56976,49399.05914,90924,63719,66137,108623,73451,68820.30371,50774,43362.53817,82348,91286,211459,553777
2008,93735,48148,50710.59706,74644,66090,60559,117899,88283,63134.29572,66576,43994.03319,63369,117390,224592,535178
2009,98556,49906,48012.94333,85499,64388,60847,92806,78603,63297.51011,65077,41680.52322,67396,108854,238323,372830
2010,81488,54455,46700,62384,55826,63074,91818,77206,48269.23077,60455,36153.84615,59883,95863,216399,325306
2011,75927.88039,57916.66667,35178.57143,61739.13043,51626.01626,54330.70866,102945.7364,63277.94562,40307.69231,59100.70005,30721.64948,41213.74866,82873.39972,229768.8944,360980.3922
2012,79463.20346,54282.70042,36208.05369,61141.97531,56149.58449,49452.95405,94592.3913,72827.80411,43333.33333,57672.80555,33469.38776,48304.29733,87360.3352,235552.2209,358392.8571
2013,75889.42308,55103.73444,36019.41748,60870.87087,43195.02075,58771.92982,96901.21786,72089.0937,37341.77215,60102.28354,36823.10469,46090.22556,92471.75141,237603.018,385438.5965
2014,72284.45099,45776.29382,33735.29412,60712.25071,51087.47045,54966.13995,91372.06428,68328.65169,41066.66667,53857.6396,35864.40678,48185.74514,85780.85642,236314.0496,411186.4407
2015,71086.49035,46176.47059,30129.87013,60083.10249,48030.63457,52851.06383,89667.06302,65237.46702,36976.74419,56684.81675,33498.45201,56608.69565,83961.81384,216294.4417,506851.8519
2016,68522.49832,47763.37115,31697.12794,58125,51396.3964,50058.02708,98088.60759,72211.12696,39879.51807,56375.2495,33510.32448,48829.56879,92054.79452,241284.1091,534107.1429
