,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,57185.41882,48987.29607,15232.17031,135919.9883,145396.6229,130548.9433,94702.49648,38715.26648,36680.95053,101678.3673,164309.8681,37371.42369,198185.4276,50632.42699,185937.5
2006,57835.19418,49725.98564,14956.85156,123716.2269,161199.7949,127619.2995,106877.405,43914.06255,37804.6699,96187.71194,172096.3025,36258.8724,205080.6749,52804.68944,469350
2007,62928.51454,54854.33422,14126.10667,132810.6722,183116.2892,148200.3194,110866.4971,47504.51826,32489.0666,105061.5281,197274.3451,39651.55843,225593.2378,58120.54869,424038.4615
2008,66242.85047,58128.80018,15681.85417,152168.935,192513.5404,122507.3178,109485.5025,51923.22035,39048.10038,104373.4502,205699.0929,41433.53946,219194.7193,54305.62629,251068.5484
2009,59737.66989,55066.71961,15567.26334,165012.6698,212356.5448,120483.7724,96068.81906,42799.86201,37590.8577,110267.8431,167360.4234,48351.48522,233328.7704,63983.72083,213000
2010,58189.91098,50309.73451,17046.63212,132808.8427,198599.3976,128704.5814,97822.06119,46118.2206,46521.73913,110533.8437,201365.8537,39532.78689,173407.6204,58477.15736,175813.9535
2011,61270.82815,51554.2522,20058.47953,136528.4974,196225.6267,135629.9841,95606.52009,47360.63709,38617.02128,106760.6156,178913.0435,30857.31415,190741.8398,57710.48744,227948.7179
2012,64844.41125,59088.05031,17888.51351,146851.1199,188149.5564,131061.693,104007.3082,54049.38272,45357.14286,109275.6757,181501.0571,30761.32931,167270.3918,57540.76087,203695.6522
2013,67042.7055,53375.41164,17993.19728,125938.5666,193697.9167,138771.9298,101828.9423,55626.8568,38446.60194,109617.801,175378.4861,31193.68051,191387.6967,82130.28169,222272.7273
2014,70363.27933,56632.99663,19181.49466,126972.8601,203215.7395,132953.9295,107027.1261,56927.43764,45274.72527,111101.5119,178258.427,32402.48728,205914.1377,91236.74912,239024.3902
2015,75878.53037,54895.77766,15985.29412,137351.6949,202406.9149,135907.2306,109964.7515,60232.82226,41262.13592,123984.1689,202896.8254,39128.65895,218086.233,107040.619,252051.2821
2016,74551.80442,61696.37723,17251.5528,143827.2921,223376.0684,155669.1729,120715.5963,68790.86983,40388.34951,116359.0312,230609.2437,31218.27411,224753.7313,109174.6641,271282.0513
