,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,47500,38542.51012,120738.6364,50000,40519.48052,99255.9675,32807.01754,67901.78571,361666.6667,44104.17929,5813.953488,2787382.026,3640587.508,43981.48148,
2006,24385.02674,38542.51012,218750,72916.66667,31836.73469,78618.58814,36907.89474,43119.30091,180833.3334,58743.24533,5487.804878,2582771.403,2927753.997,25020.57613,
2007,21772.3453,44210.52632,96153.84615,31250,67210.88436,139894.8406,41250,75646.55172,361666.6667,76220.47244,3773.584906,2268424.674,4435476.386,25236.27076,
2008,44160.68866,26526.31579,138888.8889,15625,31365.07937,98273.23514,66000,32605.51948,206666.6667,37510.31121,4098.360656,2182173.129,2360084.343,25236.27076,
2009,21502.55754,80000,125000,83333.33333,61904.7619,186859.5371,25384.61538,34935.5972,3100000,32609.56017,3928.571429,3488074.008,1577772.842,16521.73913,
2010,30400,80000,125000,62500,74285.71429,148846.1538,165000,86666.66667,155000,19640.71856,5468.75,2818400,2192815.534,95000,
2011,31600,65555.55556,70000,65000,41538.46154,104878.0488,3500000,51000,165000,13625.49801,7222.222222,2362549.02,1791818.182,62307.69231,
2012,62666.66667,29583.33333,144545.4545,14090.90909,57272.72727,162413.7931,100000,82162.16216,126666.6667,14812.03008,10000,1080162.602,1524861.111,62000,
2013,76904.7619,30370.37037,86666.66667,31818.18182,48000,91090.90909,32857.14286,62777.77778,95000,15259.51557,7910.447761,1312307.692,1979237.288,43333.33333,
2014,118064.5161,62666.66667,172500,68333.33333,68333.33333,121400,130000,50810.81081,380000,18533.83459,6145.833333,1567934.783,1591006.711,193333.3333,
2015,77884.61538,39615.38462,89200,24444.44444,41428.57143,203703.7037,60000,25252.52525,102500,16337.57962,6588.235294,2826093.75,1095207.373,75294.11765,
2016,61923.07692,62105.26316,118571.4286,18275.86207,49047.61905,188205.1282,590000,28811.88119,92500,21153.84615,6100,2908933.333,1863387.097,1400000,
