,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,54281.551,69177.24741,88045.8005,73357.10649,53764.29128,139735.8125,61402.80707,69182.1823,65312.5,50585.86248,43690.75894,27799.18438,53276.46741,73702.46336,24196.59735
2006,53213,73439,73272,103407,52068.09471,113666,66267,72253,90334.82143,54758.05652,44242.46102,25505.94009,60828.97414,69847.55976,20869.56522
2007,47287,70156,76710,70849,63899,113878,72928,56453,65791.33065,55161.68536,51489.50964,26403.47209,63395.22961,70060.06423,19787.43961
2008,59377,67163,74759,84884,64351,135502,72988,60907,57288.85135,60057.73295,45845.23444,24404.69438,65248.57714,93023.05591,37101.44928
2009,54270.8483,69021.56419,70037,72149,49335,112298,64372,61170,87281.25,64283.72979,38405.17601,24326.20251,59763.69516,97704.1443,24857.97102
2010,63631,103085,75455,88776,66632,175253,89474,92823,114000,68761.27974,70504.20168,33880,70833.33333,111172.5664,45714.28571
2011,81020,118297,136737,140606,96222,272353,101398,123947,157333.3333,83187.44053,107590.3614,27711.59875,91146.95341,133934.0102,55000
2012,83874,125284,161687,149792,85823,279640,105512,117683,172142.8571,96104.16667,141692.3077,30115.32125,101183.2061,149329.7587,45333.33333
2013,95775,128258,159773,181084,91753,366783,124409,123169,155000,82340.60403,142388.0597,31290.84967,101904.7619,160965.1475,63636.36364
2014,99404.4665,147453.4161,161868.1319,150192.3077,111439.3939,340839.6947,145638.7665,138844.4444,158750,112480.8743,107826.087,36826.56827,115662.6506,232036.3636,80000
2015,102833,145000,157653,151193,120000,352331,159537,131976,176666.6667,101724.4611,121046.5116,44458.59873,112686.5672,211114.6497,47500
2016,120849.3151,210887.0968,186395.3488,200114.9425,147777.7778,460934.5794,159247.7876,124800,139000,113702.9703,150547.9452,44565.65657,129180.3279,216900.9585,72727.27273
