,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,WP Kuala Lumpur,WP Labuan
2005,21567.76554,16522.04702,19038.06638,35206.88819,27188.63268,32086.72869,38482.3939,21731.61068,14021.84388,54456.89778,20411.04876,20991.85316,29737.27553,125091.0433,34353.84615
2006,23016.267,17998.74797,18237.58398,40214.41868,29619.93309,31943.6446,35312.29272,22184.58036,14562.29662,56315.03656,21335.31179,21440.04662,30985.10903,134085.8985,32227.73973
2007,24835.50949,20211.56492,19859.84872,40326.49171,30812.12167,36278.64722,42268.98477,24290.18049,16125.52408,61134.46019,22330.18739,24421.93948,34321.67491,146957.5742,39305.35714
2008,27337.23804,21720.83746,20575.23231,45107.21247,35560.26341,37812.80153,44600.83337,27472.29767,17398.79105,73481.03851,22888.1741,24412.60916,37980.0567,155401.1099,48155.05464
2009,25212.51476,20677.60508,20909.08639,48883.95688,35200.52866,36602.85511,41864.05873,26017.03107,18003.35511,70388.72042,22981.09266,25453.98952,38205.98362,160001.4749,42308.68545
2010,26542.41268,23188.15331,22001.51057,45602.92326,35940.39054,41738.16568,41866.59494,31052.13715,20638.29787,63845.44955,26460.07151,24487.77264,42789.91597,155195.171,41973.68421
2011,27499.28633,23949.48335,20165.1255,43533.26063,36710.7943,39843.64378,42414.50777,30575.25952,20673.57513,64911.8212,25508.84956,22764.99005,37103.35449,164203.47,41898.73418
2012,26409.78432,23353.22843,20626.61499,43135.41667,36275.26468,43430.60498,45076.59799,30048.76067,18878.92377,66178.40851,26380.43478,21369.82781,38266.12903,163895.763,43000
2013,26707.9646,25791.50579,19658.62272,43620,33199.66583,39728.53535,44637.2549,31957.41196,18192.77108,65024.09451,26919.87513,20298.0521,39272.8074,155424.9668,43255.81395
2014,30500.79072,22917.23202,18795.81152,44634.37797,34866.18005,38845.93191,44516.85393,33215.13944,19756.09756,64207.77385,26822.96651,21474.61164,38067.32673,186865.1809,38921.56863
2015,31467.07348,24312.30141,19097.74436,49741.03586,40800.35971,40219.10112,51912.27206,33043.47826,20564.51613,64853.70741,27920.97836,24503.21305,41589.08507,186528.109,50240.96386
2016,32730.8937,22769.91508,20186.02313,47950.81967,38512.53032,41373.297,53810.44487,32513.73626,21137.2549,67549.66022,25842.235,22756.32776,43058.77804,209895.6835,50813.95349
