Productivity ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,,,,,,,,,,,,,,,,,,,,,
Low-Tech ,29026.60425,32563.19005,36323.1067,38477.16375,40537.17714,39080.55298,36740.03457,38397.02511,37792.27888,39893.6306,41284.63285,46961.43876,53074.67024,53824.33275,59427.69161,62190.02738,67794.14823,64235.98199,64062.32545,64953.32001,69883.49413,72886.54607,77888.29927,78684.95744
Mid-Tech,62302.31654,69030.41159,87377.44447,96174.37938,99637.62069,92634.02325,87700.43425,89898.18102,86219.32427,88896.10589,98089.35814,111189.7888,116052.9409,119453.8374,133248.7346,136605.8681,138391.5791,132758.684,137160.5016,137975.84,129822.7106,127790.5469,134581.0007,135172.6785
High-Tech,38011.56404,40320.98406,39675.33857,43517.25961,45317.75361,40599.02079,49492.72118,56717.25542,52157.33131,60928.50306,63768.79197,74248.99009,78839.14746,81029.29632,84971.11464,84521.3007,74682.1033,72123.92011,67295.07011,71357.7502,74969.721,81380.52501,88373.54282,90271.95061
Utilities,117655.4305,149373.7629,198605.4438,238862.1774,197819.4793,222550.1569,232213.8228,276613.2266,247559.3751,298698.2462,274612.7814,291842.6577,314759.8654,247104.1862,320768.6633,333501.4788,354420.9755,181448.4452,187534.581,169132.2603,173801.6529,178460.4905,202787.7429,185314.3227
"Retail, Wholesale and Accomodation",36387.91295,38977.21396,41282.5767,39086.85274,41982.69811,39533.26328,40027.19628,39023.00884,34924.58913,35319.65117,34286.38283,35946.82682,39516.62591,40576.8561,44567.82006,48614.82903,47339.076,49056.29441,48577.71013,48664.38024,48362.34824,49898.66713,52707.41985,53376.88388
"Transportation, storage and communication",50863.86304,59065.62306,64832.67981,62418.52911,66046.76956,66099.78113,69176.40025,73571.94065,75022.12973,74373.15791,79681.83963,78378.59644,86128.94277,93838.07806,103730.6721,103510.85,106355.4058,93390.13086,90132.01727,93956.30777,102310.5045,111873.3054,118146.4062,125087.5939
Modern Services,83318.70051,82629.5416,86470.90456,89284.81567,97813.45412,100759.7462,97464.01268,102623.188,87725.16586,86037.10383,91850.75268,86861.50486,91614.9833,92637.06503,91851.21349,101565.771,99771.40832,91496.05532,86464.69012,87538.39902,88598.75128,84034.05417,84001.54962,85782.74981
Market Services,46938.64211,49986.94504,53173.19185,51707.91832,56340.57898,54663.49954,55349.89827,55776.12395,50831.74193,51251.66963,51619.55192,52357.48814,57069.12327,59097.60329,63152.11173,67957.92556,67040.87611,65948.54378,64319.54345,65265.50647,66025.08907,67125.9468,69837.87818,71297.26926
Business Services & Transport storage comms,66756.671,70768.30501,75719.14037,76038.45044,82366.19671,83513.60195,84052.52536,88743.71626,82017.20979,80928.98647,86567.17124,83178.78233,89226.48815,93139.37961,96489.2437,102369.0834,102431.2463,92285.4059,87975.50066,90129.38554,93993.00062,94286.29783,96591.22238,100202.4309
Other Market Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Government Services,22249.14218,23417.5886,23935.54542,22848.10142,23968.33966,23809.96262,24154.47675,23040.76684,27630.32694,28087.84864,27981.9118,29142.75644,30305.53021,34056.99938,33774.91085,35403.79404,33718.51662,35353.35909,38838.99324,37740.37217,36908.13436,38240.42672,38212.88939,40096.4387
Government Services and Other Social Services And household employers,22249.14218,23417.5886,23935.54542,22848.10142,23968.33966,23809.96262,24154.47675,23040.76684,27630.32694,28087.84864,27981.9118,29142.75644,30305.53021,34056.99938,33774.91085,35403.79404,33718.51662,35353.35909,38838.99324,37740.37217,36908.13436,38240.42672,38212.88939,40096.4387
Agriculture,38213.28044,37875.88498,37300.43238,36608.41057,40459.00329,36049.93859,36062.23609,40003.59674,43784.2976,44767.49521,48016.83809,48725.33333,49384.04062,51115.37047,50000.62369,54378.46458,55021.79787,51323.30175,62288.10579,54910.9446,51839.78623,54923.85787,53675.8082,55484.81272
Construction,28549.39317,30799.63188,35073.59039,34765.20263,34738.63888,28085.08539,27721.84632,26513.07658,25072.15589,23520.02149,22998.29254,24125.8471,23415.44821,23176.56098,24786.006,23912.13675,24938.94819,26058.00314,25639.60052,29692.68749,29866.10943,33744.22791,35601.19093,40018.37501
Mining,1569102.604,1783532.327,2364349.499,2259353.674,2092725.609,2847282.223,2286293.314,3128260.333,3190466.18,3234190.578,3198348.831,2829787.305,2710154.253,2302468.634,2505441.257,1767409.042,1436517.988,1569807.692,1161537.415,1073650.99,998737.2014,1072502.952,911245.2107,1014215.992
Total Productivity without Imputed Rent,45579.89151,48139.37621,52396.31585,52169.43885,54887.2243,52115.61027,53471.10491,54920.87373,54708.71025,56157.42345,57661.22262,60714.94423,63430.95265,65598.83676,67972.85457,70199.21563,67751.75777,66481.35696,67415.05523,66787.80319,65946.43791,68243.24703,70195.08978,72650.65997
,,,,,,,,,,,,,,,,,,,,,,,,
Real GDP,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Agriculture,59559.21889,58431.12775,56950.30015,59532.59727,59931.92157,58274.72574,58554.25274,62101.58358,61994.18697,63771.29693,67617.3114,70778.41919,72614.29333,76851.95949,77910.97183,80898.84176,80942.56684,82882,88555,89406,91181,93052,94142,89325
Construction,15382.41304,17711.32831,21440.48581,24909.26768,27547.74064,20948.66519,20037.35052,20147.28689,20804.87495,21287.97145,21675.89072,21491.3046,21176.93136,21065.17627,22865.09054,23864.31248,25335.47746,28213,29524,34880,38590,43115,46634,50091
Mining,58998.25789,62512.80805,76841.35871,79077.3786,80569.93596,80862.81514,86421.88727,86652.81124,85185.44699,88940.2409,94351.29052,98193.6195,97836.56854,96703.68265,98714.38552,96323.79277,90069.67787,89793,85373,86751,87789,90841,95134,97669
Total Without Imputed Rent,336534.571,361726.4938,400564.5951,438186.7677,470334.1138,448173.4021,472561.5839,509072.5628,511854.6931,535786.7456,568920.2191,605771.213,637081.4591,673962.4489,716189.1849,748211.3198,738182.5016,790942,832522,878106,920210,975196,1021858,1064492
,,,,,,,,,,,,,,,,,,,,,,,,
Employment,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Agriculture,1558.6,1542.7,1526.8,1626.2,1481.3,1616.5,1623.7,1552.4,1415.9,1424.5,1408.2,1452.6,1470.4,1503.5,1558.2,1487.7,1471.1,1614.9,1421.7,1628.2,1758.9,1694.2,1753.9,1609.9
Construction,538.8,575.05,611.3,716.5,793,745.9,722.8,759.9,829.8,905.1,942.5,890.8,904.4,908.9,922.5,998,1015.9,1082.7,1151.5,1174.7,1292.1,1277.7,1309.9,1251.7
Mining,37.6,35.05,32.5,35,38.5,28.4,37.8,27.7,26.7,27.5,29.5,34.7,36.1,42,39.4,54.5,62.7,57.2,73.5,80.8,87.9,84.7,104.4,96.3
Total,7.645,8.3993,8.5692,8.5996,8.8378,9.2692,8.837,9.321,9.357,9.5426,9.8697,9.9795,10.0454,10.2754,10.5381,10.6596,10.8973,11.8995,12.3515,12.8205,13.5454,13.8526,14.0677,14.1637
,7383.4,7514.15,7644.9,8399.3,8569.1,8599.6,8837.7,9269.2,9356,9540.8,9866.6,9977.3,10043.7,10274,10536.4,10658.4,10895.4,11897.2,12349.2,13147.7,13953.9,14290,14557.4,14652.2
