Productivity ,2010,2011,2012,2013,2014,2015,2016
Low-Tech ,64235.98199,64062.32545,64953.32001,69883.49413,72886.54607,77888.29927,78684.95744
Mid-Tech,132758.684,137160.5016,137975.84,129822.7106,127790.5469,134581.0007,135172.6785
High-Tech,72123.92011,67295.07011,71357.7502,74969.721,81380.52501,88373.54282,90271.95061
Utilities,181448.4452,187534.581,169132.2603,173801.6529,178460.4905,202787.7429,185314.3227
Traditional Services,46609.99344,45293.75078,44788.80203,44844.87245,46098.13381,48786.85426,49617.81136
Modern Services,197709.121,195464.2779,213533.2378,230765.2661,231494.5309,232402.1619,246379.2759
Govt and Other Services,35353.35909,38838.99324,42979.44051,42840.3664,44698.45668,45219.01351,47408.70472
Agriculture,51323.30175,62288.10579,54910.9446,51839.78623,54923.85787,53675.8082,55484.81272
Construction,26058.00314,25639.60052,29692.68749,29866.10943,33744.22791,35601.19093,40018.37501
Mining,1569807.692,1161537.415,1073650.99,998737.2014,1072502.952,911245.2107,1014215.992
Total Productivity without Imputed Rent,69908.54991,70960.62903,72212.24509,71770.39569,74513.11078,77067.46765,79902.91468
,,,,,,,
Real GDP,,,,,,,
,2010,2011,2012,2013,2014,2015,2016
Agriculture,82882,88555,89406,91181,93052,94142,89325
Construction,28213,29524,34880,38590,43115,46634,50091
Mining,89793,85373,86751,87789,90841,95134,97669
Total Without Imputed Rent,831716,876307,925631,972008,1032096,1084031,1131649
,,,,,,,
Employment,,,,,,,
,2010,2011,2012,2013,2014,2015,2016
Agriculture,1614.9,1421.7,1628.2,1758.9,1694.2,1753.9,1609.9
Construction,1082.7,1151.5,1174.7,1292.1,1277.7,1309.9,1251.7
Mining,57.2,73.5,80.8,87.9,84.7,104.4,96.3
Total,11.8995,12.3515,12.8205,13.5454,13.8526,14.0677,14.1637
,11897.2,12349.2,12818.2,13543.3,13851.2,14066,14162.8
